id,state_name,year,YIELD,AWC,SOM,CEC,Latitude,Longitude,EVI_AVG,GCI_AVG,NDVI_AVG,NDWI_AVG,ppt (mm)_AVG,tmax (degrees C)_AVG,tmean (degrees C)_AVG,tmin (degrees C)_AVG,ssm_AVG,susm_AVG,HIST_AVG_YIELD
1043,ALABAMA,2019,175.4,0.13,1.08,11.98,34.13,-86.88,0.39,9.0,0.65,0.43,149.67,22.74,16.43,10.13,16.58,76.19,158.2
1043,ALABAMA,2020,174.7,0.13,1.08,11.98,34.13,-86.88,0.43,9.88,0.68,0.47,160.05,22.08,16.02,9.96,16.61,76.58,162.5
1043,ALABAMA,2021,178.9,0.13,1.08,11.98,34.13,-86.88,0.42,8.8,0.67,0.46,168.19,21.79,15.8,9.82,17.93,84.48,165.0
1043,ALABAMA,2022,134.4,0.13,1.08,11.98,34.13,-86.88,0.4,6.99,0.61,0.42,143.47,22.4,15.98,9.57,15.53,71.17,167.3
1045,ALABAMA,2016,145.0,0.12,0.85,5.14,31.39,-85.62,0.42,12.47,0.74,0.55,121.71,26.3,20.01,13.7,12.81,45.66,145.0
1045,ALABAMA,2017,144.0,0.12,0.85,5.14,31.39,-85.62,0.42,12.72,0.73,0.52,145.85,25.83,19.87,13.92,16.1,57.97,145.0
1045,ALABAMA,2019,107.5,0.12,0.85,5.14,31.39,-85.62,0.45,13.9,0.75,0.55,96.4,26.26,20.16,14.05,14.62,52.11,144.5
1045,ALABAMA,2020,113.0,0.12,0.85,5.14,31.39,-85.62,0.44,13.84,0.76,0.56,132.2,25.74,19.95,14.13,13.49,47.92,132.2
1045,ALABAMA,2021,121.5,0.12,0.85,5.14,31.39,-85.62,0.45,13.22,0.73,0.54,128.97,25.02,19.18,13.32,9.65,33.07,127.4
1045,ALABAMA,2022,128.2,0.12,0.85,5.14,31.39,-85.62,0.43,13.13,0.73,0.53,103.36,25.45,19.18,12.88,13.78,54.55,126.2
1047,ALABAMA,2016,118.8,0.14,0.9,17.15,32.31,-87.1,0.38,12.98,0.72,0.58,112.6,25.68,18.95,12.18,12.38,64.42,118.8
1047,ALABAMA,2017,149.6,0.14,0.9,17.15,32.31,-87.1,0.37,13.13,0.72,0.59,137.85,25.02,18.82,12.61,20.51,110.64,118.8
1047,ALABAMA,2018,137.3,0.14,0.9,17.15,32.31,-87.1,0.39,14.08,0.74,0.61,153.14,24.5,18.43,12.36,17.03,89.76,134.2
1047,ALABAMA,2019,133.3,0.14,0.9,17.15,32.31,-87.1,0.39,14.39,0.74,0.6,115.13,25.62,19.11,12.61,15.56,82.11,135.2
1047,ALABAMA,2020,143.2,0.14,0.9,17.15,32.31,-87.1,0.39,12.6,0.74,0.61,134.23,24.82,18.63,12.44,13.84,72.55,134.8
1047,ALABAMA,2021,153.5,0.14,0.9,17.15,32.31,-87.1,0.38,12.45,0.74,0.6,126.4,24.37,18.23,12.09,14.72,77.45,136.4
1047,ALABAMA,2022,111.3,0.14,0.9,17.15,32.31,-87.1,0.37,15.23,0.74,0.59,130.38,24.65,18.01,11.34,15.64,79.32,139.3
1049,ALABAMA,2016,96.8,0.13,1.04,16.03,34.49,-85.84,0.34,6.22,0.55,0.32,86.05,22.52,16.1,9.68,16.73,76.44,96.8
1049,ALABAMA,2017,163.4,0.13,1.04,16.03,34.49,-85.84,0.35,7.52,0.59,0.34,135.56,21.76,16.01,10.26,22.71,106.41,96.8
1049,ALABAMA,2018,168.3,0.13,1.04,16.03,34.49,-85.84,0.34,5.84,0.56,0.32,132.64,21.02,15.53,9.99,19.66,90.78,130.1
1049,ALABAMA,2019,130.9,0.13,1.04,16.03,34.49,-85.84,0.34,5.77,0.55,0.32,134.12,22.02,16.1,10.17,18.23,85.39,142.8
1049,ALABAMA,2020,155.9,0.13,1.04,16.03,34.49,-85.84,0.35,6.2,0.58,0.34,154.55,21.15,15.6,10.06,18.78,87.6,139.9
1049,ALABAMA,2021,160.3,0.13,1.04,16.03,34.49,-85.84,0.37,6.58,0.59,0.36,156.77,20.98,15.39,9.8,18.48,87.48,143.1
1049,ALABAMA,2022,144.3,0.13,1.04,16.03,34.49,-85.84,0.36,5.46,0.56,0.34,123.3,21.28,15.36,9.47,16.6,75.25,145.9
1051,ALABAMA,2016,151.8,0.14,0.94,12.41,32.58,-86.13,0.4,12.5,0.73,0.58,100.67,25.69,19.42,13.12,12.01,54.64,151.8
1051,ALABAMA,2017,153.0,0.14,0.94,12.41,32.58,-86.13,0.37,13.51,0.73,0.55,158.57,24.77,18.98,13.21,19.94,93.66,151.8
1051,ALABAMA,2018,170.5,0.14,0.94,12.41,32.58,-86.13,0.39,14.0,0.75,0.58,147.12,24.17,18.38,12.59,17.92,82.62,152.4
1051,ALABAMA,2019,104.3,0.14,0.94,12.41,32.58,-86.13,0.38,10.42,0.7,0.49,112.64,25.38,19.18,12.98,16.57,76.58,158.4
1051,ALABAMA,2021,147.4,0.14,0.94,12.41,32.58,-86.13,0.38,12.72,0.72,0.51,145.18,24.21,18.3,12.37,15.93,73.8,144.9
1053,ALABAMA,2016,143.5,0.14,2.86,6.31,31.12,-87.11,0.41,14.62,0.76,0.58,138.0,25.83,19.06,12.3,13.16,53.48,143.5
1053,ALABAMA,2017,140.0,0.14,2.86,6.31,31.12,-87.11,0.4,15.31,0.77,0.58,174.47,25.53,19.18,12.82,18.31,74.98,143.5
1053,ALABAMA,2018,176.8,0.14,2.86,6.31,31.12,-87.11,0.43,14.57,0.77,0.62,162.98,25.24,19.29,13.35,20.68,84.65,141.8
1053,ALABAMA,2020,178.8,0.14,2.86,6.31,31.12,-87.11,0.42,17.03,0.79,0.64,163.51,25.5,19.45,13.4,14.45,58.69,153.4
1053,ALABAMA,2022,167.1,0.14,2.86,6.31,31.12,-87.11,0.42,16.43,0.78,0.64,148.06,25.23,18.69,12.19,15.69,65.58,159.8
1055,ALABAMA,2016,92.2,0.14,1.36,14.27,34.04,-86.02,0.33,6.24,0.59,0.37,111.65,24.08,17.81,11.52,11.65,54.09,92.2
1055,ALABAMA,2017,118.6,0.14,1.36,14.27,34.04,-86.02,0.34,7.32,0.61,0.37,129.79,23.1,17.44,11.78,21.33,102.77,92.2
1055,ALABAMA,2019,151.7,0.14,1.36,14.27,34.04,-86.02,0.34,7.23,0.63,0.4,157.49,23.21,17.5,11.81,17.09,81.14,105.4
1055,ALABAMA,2020,145.7,0.14,1.36,14.27,34.04,-86.02,0.37,8.63,0.66,0.42,158.89,22.37,16.8,11.22,16.12,75.13,120.8
1055,ALABAMA,2022,132.4,0.14,1.36,14.27,34.04,-86.02,0.35,7.55,0.62,0.38,126.91,22.48,16.32,10.18,16.77,78.45,127.0
1057,ALABAMA,2016,85.0,0.13,0.9,5.68,33.73,-87.74,0.41,19.79,0.78,0.65,93.98,24.59,17.36,10.12,14.53,68.0,85.0
1057,ALABAMA,2017,130.8,0.13,0.9,5.68,33.73,-87.74,0.39,18.07,0.77,0.63,118.21,23.97,17.31,10.66,21.86,104.47,85.0
1057,ALABAMA,2018,124.3,0.13,0.9,5.68,33.73,-87.74,0.42,16.61,0.77,0.63,160.57,23.33,16.88,10.42,17.32,81.36,107.9
1057,ALABAMA,2019,100.0,0.13,0.9,5.68,33.73,-87.74,0.4,18.18,0.78,0.64,171.08,23.74,17.13,10.52,16.68,78.49,113.4
1057,ALABAMA,2020,125.8,0.13,0.9,5.68,33.73,-87.74,0.39,16.38,0.76,0.63,152.27,23.41,17.01,10.6,13.67,63.18,110.0
1057,ALABAMA,2021,126.6,0.13,0.9,5.68,33.73,-87.74,0.41,16.44,0.77,0.62,153.07,22.92,16.64,10.36,16.95,80.88,113.2
1057,ALABAMA,2022,101.5,0.13,0.9,5.68,33.73,-87.74,0.39,17.91,0.76,0.61,148.05,23.46,16.43,9.41,15.6,73.61,115.4
1059,ALABAMA,2016,85.7,0.13,0.86,22.59,34.44,-87.83,0.43,15.85,0.71,0.52,100.7,23.16,16.67,10.17,14.55,71.5,85.7
1059,ALABAMA,2017,178.9,0.13,0.86,22.59,34.44,-87.83,0.42,21.69,0.7,0.49,136.33,22.3,16.38,10.46,22.2,111.01,85.7
1059,ALABAMA,2018,100.0,0.13,0.86,22.59,34.44,-87.83,0.43,19.72,0.71,0.51,144.58,21.7,15.93,10.14,18.6,92.6,132.3
1061,ALABAMA,2016,129.4,0.13,1.01,4.37,31.09,-85.8,0.34,6.53,0.53,0.27,152.59,26.27,19.73,13.19,13.28,64.4,129.4
1061,ALABAMA,2017,130.1,0.13,1.01,4.37,31.09,-85.8,0.34,7.75,0.52,0.23,127.21,25.97,19.69,13.39,17.17,83.14,129.4
1061,ALABAMA,2018,109.5,0.13,1.01,4.37,31.09,-85.8,0.35,6.56,0.55,0.28,159.97,25.33,19.38,13.43,20.46,98.93,129.8
1061,ALABAMA,2020,143.8,0.13,1.01,4.37,31.09,-85.8,0.36,6.83,0.53,0.27,137.55,26.02,19.92,13.84,16.15,79.26,123.0
1067,ALABAMA,2016,142.9,0.12,1.06,9.42,31.48,-85.24,0.43,16.47,0.77,0.59,108.94,26.32,19.95,13.56,12.7,58.07,142.9
1067,ALABAMA,2018,162.4,0.12,1.06,9.42,31.48,-85.24,0.45,19.49,0.78,0.58,155.33,25.22,19.43,13.63,19.48,89.79,142.9
1067,ALABAMA,2019,144.7,0.12,1.06,9.42,31.48,-85.24,0.46,18.07,0.79,0.6,88.15,26.21,20.1,13.99,15.5,70.64,152.6
1067,ALABAMA,2020,169.4,0.12,1.06,9.42,31.48,-85.24,0.46,16.88,0.8,0.61,117.52,25.68,19.85,14.02,14.71,67.36,150.0
1067,ALABAMA,2021,164.4,0.12,1.06,9.42,31.48,-85.24,0.44,16.14,0.78,0.6,143.16,25.03,19.22,13.4,11.2,50.49,154.8
1067,ALABAMA,2022,161.4,0.12,1.06,9.42,31.48,-85.24,0.45,17.02,0.77,0.61,99.84,25.46,19.17,12.86,14.57,66.53,156.8
1071,ALABAMA,2016,80.5,0.15,1.0,18.64,34.77,-85.99,0.4,13.57,0.7,0.5,92.37,23.48,16.56,9.64,16.6,90.93,80.5
1071,ALABAMA,2017,150.2,0.15,1.0,18.64,34.77,-85.99,0.41,11.42,0.71,0.48,140.23,22.58,16.32,10.07,22.68,126.54,80.5
1071,ALABAMA,2018,155.2,0.15,1.0,18.64,34.77,-85.99,0.4,12.52,0.71,0.49,140.8,21.81,15.83,9.89,18.94,103.02,115.4
1071,ALABAMA,2019,123.3,0.15,1.0,18.64,34.77,-85.99,0.4,12.9,0.7,0.47,148.18,22.88,16.45,9.99,16.71,91.14,128.6
1071,ALABAMA,2020,149.4,0.15,1.0,18.64,34.77,-85.99,0.41,11.88,0.71,0.5,179.39,21.9,15.94,9.98,17.0,92.81,127.3
1071,ALABAMA,2021,156.1,0.15,1.0,18.64,34.77,-85.99,0.42,12.9,0.71,0.5,156.31,21.91,15.79,9.72,16.69,90.76,131.7
1071,ALABAMA,2022,110.7,0.15,1.0,18.64,34.77,-85.99,0.39,11.54,0.68,0.49,130.94,22.24,15.65,9.03,16.61,85.8,135.8
1075,ALABAMA,2016,78.6,0.14,0.91,5.82,33.75,-88.1,0.37,15.95,0.69,0.46,84.94,25.08,18.09,11.11,14.74,68.3,78.6
1077,ALABAMA,2016,106.5,0.14,0.66,10.12,34.9,-87.67,0.35,7.76,0.58,0.33,94.65,23.48,16.87,10.25,14.39,63.78,106.5
1077,ALABAMA,2017,178.4,0.14,0.66,10.12,34.9,-87.67,0.36,7.95,0.58,0.32,114.3,22.92,16.73,10.53,22.26,101.44,106.5
1077,ALABAMA,2018,165.3,0.14,0.66,10.12,34.9,-87.67,0.37,9.44,0.61,0.38,153.99,22.21,16.28,10.32,19.63,88.34,142.4
1077,ALABAMA,2019,172.7,0.14,0.66,10.12,34.9,-87.67,0.38,8.45,0.6,0.37,160.28,22.78,16.6,10.42,17.56,78.91,150.1
1077,ALABAMA,2020,165.5,0.14,0.66,10.12,34.9,-87.67,0.42,9.8,0.65,0.41,173.79,22.16,16.21,10.24,16.87,75.17,155.7
1077,ALABAMA,2021,175.8,0.14,0.66,10.12,34.9,-87.67,0.41,9.73,0.65,0.45,151.68,21.93,16.02,10.1,17.78,80.83,157.7
1077,ALABAMA,2022,83.0,0.14,0.66,10.12,34.9,-87.67,0.39,8.9,0.61,0.4,127.25,22.24,15.71,9.22,16.33,74.57,160.7
1079,ALABAMA,2016,117.2,0.14,1.05,23.43,34.48,-87.3,0.34,6.14,0.53,0.3,102.38,23.3,16.71,10.1,14.02,66.55,117.2
1079,ALABAMA,2017,204.0,0.14,1.05,23.43,34.48,-87.3,0.35,6.33,0.55,0.33,120.32,22.54,16.54,10.56,20.26,96.58,117.2
1079,ALABAMA,2018,176.9,0.14,1.05,23.43,34.48,-87.3,0.35,6.58,0.56,0.36,142.69,21.68,16.03,10.37,18.36,86.95,160.6
1079,ALABAMA,2019,171.8,0.14,1.05,23.43,34.48,-87.3,0.37,7.01,0.58,0.39,156.97,22.37,16.32,10.3,16.2,76.49,166.0
1079,ALABAMA,2020,185.9,0.14,1.05,23.43,34.48,-87.3,0.37,7.43,0.59,0.39,177.92,22.01,16.02,10.06,17.31,82.84,167.5
1079,ALABAMA,2021,184.3,0.14,1.05,23.43,34.48,-87.3,0.37,7.11,0.59,0.39,146.12,21.72,15.92,10.17,16.69,80.58,171.2
1079,ALABAMA,2022,96.3,0.14,1.05,23.43,34.48,-87.3,0.34,6.96,0.56,0.36,134.05,22.11,15.69,9.29,15.62,72.8,173.4
1083,ALABAMA,2016,112.9,0.14,0.77,16.61,34.83,-86.99,0.39,7.7,0.58,0.34,108.46,23.42,17.06,10.73,15.52,92.15,112.9
